Month;Day;Hour;Temperature;Precipitation;WindSpeed;WindDirection;Cloudiness;RelativeHumidity;AirPressure
1;4;6;11.83;0.03;11.92;208.2;7;92.03;1013.18
1;4;7;12.04;0.06;10.21;211.3;8;90.98;1013.23
1;4;8;12.19;0.03;11.26;215.9;8;90.68;1013.05
1;4;9;11.95;0.00;11.49;214.4;8;90.26;1013.25
1;4;10;12.55;0.00;11.26;210.7;8;91.22;1014.03
1;4;11;12.49;0.04;10.91;230.6;8;90.69;1013.99
1;4;12;12.22;0.00;11.23;226.6;7;90.99;1013.80
1;4;13;11.89;0.00;9.38;232.1;7;90.95;1014.02
1;4;14;11.71;0.04;9.79;234.0;8;90.53;1013.94
1;4;15;11.50;0.03;10.24;230.7;7;89.91;1014.01
1;4;16;11.73;0.06;10.90;233.4;7;89.14;1013.94
1;4;17;11.35;0.06;10.43;231.2;7;88.11;1014.63
1;4;18;11.17;0.00;9.29;234.6;6;88.15;1015.23
1;4;19;11.21;0.03;9.56;233.8;8;88.49;1015.72
1;4;20;10.97;0.00;8.94;233.6;3;88.65;1016.07
1;4;21;11.10;0.06;9.69;236.4;0;87.36;1016.13
1;4;22;10.83;0.03;9.20;239.3;8;86.99;1016.38
1;4;23;10.72;0.04;8.63;239.3;8;88.51;1017.02
1;5;0;10.73;0.00;8.37;240.3;8;89.09;1016.98
1;5;1;10.81;0.00;7.42;238.4;7;88.34;1017.17
1;5;2;10.81;0.00;6.78;244.2;8;87.34;1017.58
1;5;3;10.65;0.00;6.80;244.2;7;86.95;1017.84
1;5;4;10.44;0.00;6.32;238.0;8;88.08;1018.05
1;5;5;10.34;0.00;5.81;242.9;7;88.86;1018.58
1;5;6;10.18;0.00;5.17;241.3;5;89.06;1019.16
1;5;7;10.14;0.00;5.37;248.9;6;89.60;1019.62
1;5;8;10.10;0.00;5.66;240.2;2;90.20;1019.96
1;5;9;10.25;0.00;6.10;232.6;4;90.53;1020.24
1;5;10;10.55;0.00;5.74;236.3;1;90.49;1020.32
1;5;11;10.98;0.00;5.94;234.4;8;90.04;1019.93
1;5;12;11.02;0.03;5.57;205.7;8;89.58;1019.59
1;5;13;10.96;0.45;5.77;214.0;8;91.71;1019.23
1;5;14;11.34;0.00;6.77;239.0;8;93.36;1019.12
1;5;15;11.77;0.00;6.53;234.2;8;93.23;1018.77
1;5;16;11.65;0.00;6.94;224.7;8;92.54;1018.51
1;5;17;11.53;0.00;7.07;232.1;8;91.23;1018.20
1;5;18;11.07;0.00;6.86;212.4;8;91.20;1018.00
1;5;19;10.95;0.03;7.45;208.0;8;92.00;1017.85
1;5;20;10.69;0.00;7.03;201.9;8;91.99;1017.49
1;5;21;10.24;0.00;8.32;198.7;8;92.29;1017.15
1;5;22;10.57;0.00;8.19;194.2;8;92.44;1016.73
1;5;23;10.66;0.00;8.89;199.7;8;90.50;1016.29
1;6;0;10.59;0.00;9.03;198.5;8;87.99;1015.64
1;6;1;10.59;0.00;9.48;196.7;8;85.76;1014.97
1;6;2;10.60;0.00;10.20;193.5;8;84.69;1014.21
1;6;3;10.52;0.03;10.80;197.0;7;85.03;1013.48
1;6;4;10.72;0.00;10.18;198.5;7;84.96;1013.40
1;6;5;10.31;0.00;10.95;201.0;8;86.82;1013.49
1;6;6;10.64;0.12;7.46;204.8;8;90.04;1014.56
1;6;7;10.38;0.00;5.04;230.8;8;90.28;1015.41
1;6;8;9.90;0.00;3.66;243.3;2;88.01;1016.27
1;6;9;9.90;0.00;3.80;241.7;0;82.26;1016.90
1;6;10;11.09;0.00;4.76;207.2;3;79.86;1016.94
1;6;11;10.95;0.00;5.20;209.8;0;77.24;1016.48
1;6;12;11.08;0.00;6.12;227.0;3;76.92;1016.08
1;6;13;10.75;0.00;5.79;212.4;1;79.04;1015.69
1;6;14;10.86;0.00;5.10;208.0;7;82.47;1015.31
1;6;15;10.95;0.00;5.06;193.8;7;85.03;1015.06
1;6;16;10.68;0.00;5.25;194.9;8;88.01;1014.83
1;6;17;10.99;0.00;6.66;186.5;8;91.16;1014.91
1;6;18;11.08;0.00;7.27;203.3;8;92.63;1014.85
1;6;19;11.05;0.00;7.68;194.3;8;93.44;1014.79
1;6;20;10.89;0.00;7.79;194.0;8;93.97;1014.31
1;6;21;11.09;0.00;8.33;190.9;8;93.85;1013.95
1;6;22;11.07;0.00;8.06;190.1;7;92.40;1013.75
1;6;23;10.98;0.00;8.89;189.0;6;90.38;1013.45
1;7;0;10.78;0.00;9.89;189.2;7;88.88;1012.67
1;7;1;10.60;0.00;9.43;191.4;7;88.27;1011.93
1;7;2;10.53;0.00;9.71;182.5;4;87.02;1011.57
1;7;3;10.66;0.00;9.30;184.7;7;85.75;1010.81
1;7;4;10.60;0.00;10.02;183.5;7;83.99;1009.95
1;7;5;10.57;0.00;9.11;185.6;7;84.00;1009.51
1;7;6;10.61;0.00;9.03;179.7;8;81.13;1008.91
1;7;7;10.66;0.00;9.76;172.4;8;76.16;1008.15
1;7;8;10.61;0.00;10.23;173.6;8;72.49;1007.38
1;7;9;10.70;0.00;11.84;178.5;8;70.72;1006.05
1;7;10;10.69;0.00;12.72;174.9;5;69.54;1005.04
1;7;11;10.58;0.00;11.40;176.1;6;71.61;1004.08
1;7;12;10.75;0.00;10.68;173.6;5;72.19;1002.96
1;7;13;10.66;0.00;11.32;179.2;8;72.71;1002.05
1;7;14;10.15;0.00;12.14;174.6;8;76.00;1001.34
1;7;15;9.39;0.06;11.33;174.4;8;79.27;1001.43
1;7;16;9.61;0.00;11.25;175.6;8;83.07;1000.57
1;7;17;9.81;0.00;11.59;176.1;7;81.69;999.77
1;7;18;10.23;0.03;13.60;179.7;7;81.85;999.38
1;7;19;10.45;0.03;12.80;183.3;6;82.82;999.56
1;7;20;10.49;0.00;11.87;180.5;7;81.50;999.92
1;7;21;9.06;1.32;9.73;186.6;7;82.52;1000.36
1;7;22;9.20;0.00;7.46;197.4;8;82.79;1000.43
1;7;23;9.28;0.00;6.54;200.9;7;83.10;1000.43
1;8;0;9.15;0.00;7.17;195.2;7;83.47;1000.07
1;8;1;8.55;0.00;7.15;198.4;7;79.62;999.78
1;8;2;8.45;0.00;7.43;195.5;6;80.77;999.66
1;8;3;8.26;0.00;7.21;190.9;0;80.59;999.49
1;8;4;8.02;0.00;8.09;189.7;1;79.34;999.02
1;8;5;7.80;0.00;8.67;180.0;0;80.04;998.69
1;8;6;7.46;0.00;8.04;184.8;0;81.54;998.76
1;8;7;7.23;0.00;7.40;184.6;0;83.56;998.63
1;8;8;7.67;0.00;8.24;181.4;0;85.09;998.19
1;8;9;8.11;0.00;9.12;189.4;3;84.82;997.71
1;8;10;8.45;0.00;9.20;185.3;2;82.12;997.45
1;8;11;8.86;0.00;9.34;191.8;1;80.05;996.74
1;8;12;9.29;0.00;9.35;188.4;0;77.29;996.00
1;8;13;9.49;0.00;10.38;185.4;6;76.49;994.85
1;8;14;9.58;0.00;9.66;182.9;2;75.83;993.96
1;8;15;9.55;0.00;9.92;181.0;6;75.00;993.45
1;8;16;9.72;0.00;10.17;179.9;7;75.14;992.74
1;8;17;9.74;0.00;9.78;174.5;8;74.50;991.86
1;8;18;9.48;0.00;9.90;180.1;7;76.10;991.27
1;8;19;7.75;0.10;9.05;180.3;7;80.00;991.35
1;8;20;7.29;0.00;8.01;195.5;8;84.87;991.39
1;8;21;7.26;0.00;7.50;203.4;7;84.60;991.46
1;8;22;6.97;0.00;7.29;202.0;7;86.13;991.53
1;8;23;6.97;0.00;7.40;196.8;6;87.27;991.61
1;9;0;6.98;0.00;8.21;187.7;3;87.84;991.48
1;9;1;7.08;0.00;8.83;190.1;1;87.37;991.03
1;9;2;7.06;0.00;9.59;190.1;7;85.48;990.40
1;9;3;7.05;0.10;10.84;183.1;7;86.25;989.77
1;9;4;7.76;0.44;9.31;189.0;7;88.40;990.72
1;9;5;8.25;0.64;8.35;241.5;8;87.75;991.87
1;9;6;8.30;0.49;6.75;273.9;8;85.13;993.00
1;9;7;7.90;2.85;6.59;260.7;8;85.04;994.31
1;9;8;8.22;0.00;4.76;259.8;8;85.38;995.53
1;9;9;8.45;0.00;4.63;252.6;6;84.01;996.74
1;9;10;8.64;0.00;4.90;250.2;5;82.20;997.89
1;9;11;8.77;0.00;5.11;262.4;7;80.25;998.46
1;9;12;8.75;0.00;6.44;252.9;7;77.61;998.97
1;9;13;8.62;0.00;7.21;269.6;7;77.15;999.62
1;9;14;8.37;0.19;7.18;270.8;7;78.06;1000.75
1;9;15;8.81;0.00;7.58;281.9;8;77.06;1002.23
1;9;16;8.82;0.00;7.49;283.0;7;72.20;1003.70
1;9;17;8.36;0.33;8.56;292.9;5;71.09;1005.00
1;9;18;8.66;0.00;7.60;300.8;7;68.59;1006.52
1;9;19;8.60;0.00;6.24;283.1;7;66.81;1007.82
1;9;20;8.34;0.00;6.54;293.3;8;68.30;1008.67
1;9;21;8.19;0.00;5.75;288.1;7;69.48;1009.64
1;9;22;8.36;0.00;6.89;279.4;2;71.23;1010.65
1;9;23;8.30;0.00;7.41;260.6;6;71.27;1011.77
1;10;0;8.07;0.03;7.35;260.8;7;72.19;1012.56
1;10;1;7.89;0.00;7.05;259.6;1;73.38;1013.07
1;10;2;7.77;0.00;6.46;273.8;0;74.41;1013.73
1;10;3;7.82;0.00;5.95;274.6;0;76.08;1014.09
1;10;4;7.64;0.00;4.77;261.4;0;77.21;1014.48
1;10;5;5.52;0.00;5.76;226.7;4;81.70;1014.83
1;10;6;5.29;0.00;6.49;210.7;0;85.23;1015.20
1;10;7;5.57;0.00;5.96;201.6;5;85.83;1015.37
1;10;8;5.71;0.00;7.54;192.4;8;85.13;1015.04
1;10;9;6.00;0.00;7.59;173.9;8;85.37;1014.38
1;10;10;6.58;0.00;8.41;176.9;8;84.86;1013.82
1;10;11;6.65;0.00;9.46;181.2;8;84.37;1012.93
1;10;12;6.55;0.06;10.50;180.0;8;87.28;1011.30
1;10;13;6.93;0.19;12.01;174.8;8;89.73;1009.25
1;10;14;7.17;0.06;12.70;177.2;8;91.03;1008.07
1;10;15;7.87;0.11;12.55;181.0;8;91.99;1007.37
1;10;16;8.66;0.07;11.41;184.8;8;91.58;1006.98
1;10;17;9.20;0.10;11.95;190.9;8;90.47;1006.24
1;10;18;9.66;0.07;11.53;192.0;8;89.68;1005.69
1;10;19;9.76;0.00;10.04;187.3;8;89.89;1005.61
1;10;20;10.23;0.03;9.87;190.2;8;91.47;1005.24
1;10;21;11.04;0.03;10.17;193.8;8;91.48;1004.43
1;10;22;11.67;0.03;11.00;194.9;8;89.53;1003.98
1;10;23;11.35;0.03;10.78;198.3;8;88.73;1003.94
1;11;0;11.14;0.00;10.60;203.7;8;91.36;1004.23
1;11;1;11.17;0.00;8.15;206.1;8;93.29;1004.65
1;11;2;11.76;0.03;8.45;213.9;8;93.99;1004.90
1;11;3;10.96;0.00;7.77;231.4;7;93.60;1005.70
1;11;4;10.30;0.00;6.28;236.9;7;93.30;1006.50
1;11;5;10.12;0.00;6.10;239.3;7;92.32;1007.20
1;11;6;9.78;0.00;5.48;240.4;4;90.38;1008.01
1;11;7;9.55;0.00;5.31;245.3;0;87.92;1008.84
1;11;8;9.58;0.00;6.43;250.2;2;85.84;1009.42
1;11;9;10.05;0.00;6.71;239.3;0;83.41;1010.16
1;11;10;10.29;0.00;7.88;232.0;0;81.70;1010.47
1;11;11;10.38;0.00;8.37;228.7;1;79.65;1010.58
1;11;12;10.73;0.00;8.37;235.6;1;77.22;1010.41
1;11;13;10.86;0.00;9.33;230.4;0;72.41;1010.26
1;11;14;10.74;0.00;9.46;228.3;1;70.03;1009.77
1;11;15;10.34;0.00;9.86;225.8;1;68.92;1009.68
1;11;16;9.56;0.00;10.69;216.0;6;75.76;1009.52
1;11;17;9.53;0.00;10.82;215.1;7;78.38;1009.52
1;11;18;9.23;0.17;11.13;205.7;8;83.28;1008.58
1;11;19;9.27;0.07;10.13;203.1;8;87.10;1008.95
1;11;20;8.96;0.03;9.31;218.6;8;86.69;1009.09
1;11;21;8.65;0.00;8.69;208.0;8;87.00;1008.88
1;11;22;9.98;0.27;8.84;218.5;7;87.69;1008.91
1;11;23;10.09;1.50;8.87;233.3;7;87.43;1008.51
1;12;0;9.66;0.92;10.06;218.6;8;89.54;1007.53
1;12;1;9.79;0.37;10.52;208.2;8;91.16;1006.57
1;12;2;9.73;0.58;12.10;203.4;8;91.62;1004.81
1;12;3;9.59;0.38;13.55;203.1;8;91.87;1003.74
1;12;4;9.74;0.10;12.78;209.5;8;92.70;1003.38
1;12;5;10.35;0.07;12.00;217.1;8;93.11;1003.35
1;12;6;11.17;0.34;11.89;223.0;8;92.21;1003.65
1;12;7;11.22;0.47;12.17;225.5;8;90.81;1004.03
1;12;8;11.34;0.06;12.10;229.0;8;90.58;1004.35
1;12;9;11.36;0.18;11.93;225.4;8;90.35;1004.89
1;12;10;11.47;0.57;11.09;229.8;8;90.50;1005.14
1;12;11;11.03;0.68;9.54;223.3;8;90.92;1004.78
1;12;12;10.83;0.88;9.48;216.9;8;92.20;1004.14
1;12;13;10.73;0.63;9.51;217.3;8;93.10;1003.55
1;12;14;10.69;0.57;10.04;217.5;8;93.60;1003.25
1;12;15;10.75;0.20;10.27;216.3;8;93.69;1002.96
1;12;16;10.70;0.26;10.50;215.5;8;93.51;1002.75
1;12;17;10.77;0.03;9.79;213.9;8;93.10;1002.82
1;12;18;10.97;0.00;10.74;212.1;8;92.10;1002.56
1;12;19;10.96;0.12;10.51;210.4;8;90.32;1002.51
1;12;20;11.08;0.00;9.35;216.4;8;86.98;1002.92
1;12;21;10.50;0.00;10.09;228.4;7;81.44;1003.40
1;12;22;10.15;0.00;8.69;236.9;1;78.36;1003.56
1;12;23;9.72;0.00;8.27;226.9;1;79.11;1003.45
1;13;0;9.29;0.00;9.00;230.2;6;74.61;1002.70
1;13;1;8.57;0.00;9.66;210.9;0;75.72;1002.14
1;13;2;8.46;0.00;9.24;204.9;7;77.33;1002.26
1;13;3;8.32;0.00;9.42;222.6;0;79.88;1002.30
1;13;4;9.58;0.00;11.62;223.4;7;73.20;1002.62
1;13;5;9.54;0.03;12.40;236.2;2;69.12;1002.65
1;13;6;9.72;0.08;12.35;237.8;2;68.57;1003.18
1;13;7;9.67;0.03;11.47;238.7;7;69.75;1003.96
1;13;8;9.59;0.00;10.47;240.8;7;68.53;1004.72
1;13;9;9.54;0.00;9.28;246.0;7;69.40;1005.60
1;13;10;9.56;0.00;9.32;246.2;8;69.80;1006.54
1;13;11;9.67;0.00;9.34;246.1;8;70.17;1007.15
1;13;12;9.64;0.00;7.99;249.2;7;71.81;1007.76
1;13;13;10.07;0.00;8.30;247.2;7;71.25;1008.54
1;13;14;10.13;0.03;8.92;249.9;7;71.24;1009.41
1;13;15;10.05;0.00;8.82;241.4;7;72.82;1010.41
1;13;16;9.98;0.00;7.77;236.7;8;74.09;1011.34
1;13;17;10.10;0.00;6.57;232.4;8;74.69;1012.37
1;13;18;10.15;0.00;7.13;240.2;8;71.43;1013.00
1;13;19;9.85;0.00;6.84;243.5;7;71.46;1013.44
1;13;20;9.53;0.00;6.46;244.9;5;71.42;1014.09
1;13;21;9.39;0.00;6.38;246.9;5;72.18;1014.41
1;13;22;9.19;0.00;6.52;251.2;7;72.43;1014.38
1;13;23;8.30;0.00;5.74;242.7;5;75.03;1014.25
1;14;0;6.83;0.00;6.20;223.9;3;79.54;1013.60
1;14;1;6.82;0.00;7.06;199.7;3;82.88;1012.79
1;14;2;7.19;0.00;7.54;183.6;7;85.96;1011.73
1;14;3;7.55;0.00;7.67;191.6;7;87.18;1010.15
1;14;4;7.46;0.00;8.33;180.5;7;85.34;1008.74
1;14;5;7.19;0.12;9.00;176.6;8;86.73;1007.20
1;14;6;7.73;0.09;11.11;178.5;8;90.29;1005.04
1;14;7;8.32;0.13;12.23;182.7;7;91.91;1002.99
1;14;8;8.81;0.14;12.95;183.7;8;92.18;1000.84
1;14;9;9.46;0.10;13.83;183.2;8;91.52;999.50
1;14;10;10.03;0.03;13.35;188.6;8;90.78;998.53
1;14;11;10.31;0.11;12.84;186.1;8;90.83;997.34
1;14;12;10.69;0.07;11.91;194.3;8;91.86;996.17
1;14;13;11.00;0.20;11.90;199.3;8;92.97;995.11
1;14;14;11.31;0.06;11.58;202.4;8;93.74;994.73
1;14;15;11.89;0.13;9.94;210.2;8;94.08;994.86
1;14;16;11.46;0.00;10.12;224.3;8;93.43;995.59
1;14;17;10.71;0.00;8.93;235.6;7;92.41;996.45
1;14;18;10.40;0.00;8.69;231.8;8;90.99;997.16
1;14;19;9.61;0.00;8.44;235.6;7;87.87;997.64
1;14;20;9.35;0.00;7.05;265.9;7;75.70;998.04
1;14;21;8.82;0.00;7.07;252.2;7;67.43;998.37
1;14;22;8.67;0.00;7.40;252.0;8;66.23;998.46
1;14;23;8.50;0.00;7.32;244.9;8;66.43;998.45
1;15;0;8.30;0.00;7.95;250.5;8;65.93;998.26
1;15;1;8.30;0.00;8.29;248.7;7;66.38;998.22
1;15;2;8.18;0.00;8.50;246.5;7;64.71;998.18
1;15;3;7.98;0.03;8.08;246.5;7;63.05;998.23
1;15;4;7.80;0.00;8.61;252.4;7;62.60;998.23
1;15;5;7.57;0.00;8.97;250.5;8;60.55;998.28
1;15;6;7.53;0.00;10.33;250.5;2;60.82;998.45
1;15;7;7.74;0.03;11.22;243.6;1;62.67;998.47
1;15;8;7.09;0.00;9.59;237.6;1;68.15;998.39
1;15;9;7.09;0.03;10.73;210.2;7;70.40;998.24
1;15;10;6.49;0.08;12.03;204.1;7;73.36;998.41
1;15;11;7.11;0.06;10.31;210.2;7;80.98;998.77
1;15;12;7.71;0.00;9.84;213.4;7;81.49;998.62
1;15;13;7.69;0.00;9.84;214.7;7;81.08;998.67
1;15;14;7.03;0.00;10.66;211.5;7;82.21;998.81
1;15;15;6.50;0.00;9.84;207.3;5;83.33;998.67
1;15;16;5.86;0.00;10.70;199.9;0;83.45;998.38
1;15;17;5.68;0.03;10.91;193.5;0;84.18;997.91
1;15;18;4.79;0.09;9.68;193.3;6;85.11;997.60
1;15;19;4.00;0.03;8.01;190.5;7;89.10;996.96
1;15;20;3.65;0.00;6.62;193.6;7;91.02;996.40
1;15;21;4.18;0.00;6.50;197.1;6;91.90;995.78
1;15;22;4.61;0.00;6.90;203.7;1;91.97;994.99
1;15;23;4.79;0.00;8.07;192.3;0;91.50;993.65
1;16;0;4.69;0.00;6.55;190.2;0;91.38;992.34
1;16;1;4.62;0.00;6.86;168.3;6;91.06;990.26
1;16;2;4.56;0.00;7.27;156.2;8;90.58;988.17
1;16;3;4.77;0.03;7.28;146.2;7;90.88;985.64
1;16;4;4.96;0.80;8.74;132.3;8;91.98;982.77
1;16;5;5.35;0.17;9.96;124.6;8;92.16;979.85
1;16;6;5.34;0.16;10.43;123.7;8;91.66;977.97
1;16;7;5.38;0.31;9.11;139.0;8;91.67;976.93
1;16;8;5.56;0.35;7.38;157.8;8;91.89;976.56
1;16;9;5.69;0.80;7.26;165.8;8;91.88;976.40
1;16;10;5.46;1.58;5.66;177.2;8;91.72;976.45
1;16;11;5.06;1.81;5.83;184.8;8;91.90;975.95
1;16;12;4.96;0.95;4.02;187.4;8;91.65;975.43
1;16;13;5.56;2.21;7.75;183.9;8;92.13;975.29
1;16;14;5.87;0.08;16.22;332.2;8;91.71;976.56
1;16;15;5.70;0.15;15.43;322.2;8;89.67;978.39
1;16;16;5.57;0.55;14.01;315.3;8;87.88;979.95
1;16;17;5.64;0.03;11.92;304.0;8;82.50;981.09
1;16;18;5.36;0.04;13.65;301.7;7;82.57;981.96
1;16;19;4.95;0.04;13.08;306.8;8;82.14;982.90
1;16;20;4.77;0.00;11.55;301.6;7;78.28;983.78
1;16;21;4.33;0.00;8.64;296.9;5;76.66;984.63
1;16;22;4.31;0.00;7.59;277.9;7;74.25;984.96
1;16;23;4.08;0.00;6.62;294.3;7;72.68;985.31
1;17;0;3.92;0.00;6.23;292.1;1;71.55;985.54
1;17;1;3.83;0.00;5.29;303.4;2;68.30;985.82
1;17;2;3.67;0.00;4.39;299.1;2;66.97;986.22
1;17;3;3.29;0.00;2.99;292.2;2;66.19;986.34
1;17;4;1.85;0.00;3.73;285.8;3;70.81;986.19
1;17;5;0.74;0.00;4.33;196.5;8;82.21;986.19
1;17;6;0.92;0.00;3.44;204.1;8;86.53;986.11
1;17;7;1.04;0.00;2.99;196.3;8;87.33;986.17
1;17;8;1.42;0.00;2.98;200.6;7;86.93;986.38
1;17;9;2.19;0.00;3.44;200.3;0;83.99;986.72
1;17;10;3.36;0.00;3.78;204.9;0;79.24;987.16
1;17;11;4.36;0.00;3.74;206.7;0;73.80;986.99
1;17;12;4.55;0.00;3.50;197.0;0;68.37;986.59
1;17;13;4.78;0.00;2.37;203.3;1;66.06;986.63
1;17;14;5.15;0.00;2.20;301.2;3;60.78;986.88
1;17;15;4.26;0.00;2.66;323.0;1;59.68;987.05
1;17;16;3.59;0.00;1.95;306.6;4;59.45;987.48
1;17;17;3.55;0.00;1.89;297.5;8;58.91;988.12
1;17;18;3.41;0.00;2.61;282.0;3;61.78;988.82
1;17;19;3.54;0.00;2.74;290.1;8;62.47;989.28
1;17;20;3.58;0.00;3.10;297.2;7;60.52;989.59
1;17;21;3.55;0.00;2.99;301.5;7;58.37;989.94
1;17;22;3.55;0.00;3.37;291.2;7;60.67;990.21
1;17;23;3.48;0.00;3.84;291.4;0;60.31;990.31
1;18;0;3.39;0.00;3.76;298.8;5;62.47;990.46
1;18;1;3.54;0.00;4.53;293.6;7;63.21;990.71
1;18;2;3.66;0.00;4.53;295.0;5;61.36;991.10
1;18;3;3.88;0.00;4.84;283.2;7;63.25;991.26
1;18;4;4.05;0.00;5.09;276.2;7;63.62;991.61
1;18;5;4.30;0.00;5.06;268.3;3;63.37;991.97
1;18;6;4.47;0.00;5.05;273.3;3;63.52;992.44
1;18;7;2.24;0.00;5.12;261.6;4;69.70;993.08
1;18;8;1.43;0.00;5.52;192.5;0;79.23;993.82
1;18;9;2.39;0.00;5.80;201.6;4;82.24;994.68
1;18;10;3.23;0.00;6.62;208.6;4;81.00;995.00
1;18;11;3.88;0.00;7.05;201.8;2;79.80;995.31
1;18;12;4.73;0.00;6.09;208.0;6;79.26;995.49
1;18;13;5.71;0.00;5.94;242.2;7;70.53;995.72
1;18;14;5.36;0.00;5.74;247.9;7;69.54;996.23
1;18;15;5.25;0.00;5.61;238.7;7;70.32;996.89
1;18;16;5.20;0.00;4.71;242.3;7;70.32;997.40
