Month;Hour;AverageGlobalActivePower;StDevGlobalActivePower
5;17;0.8210;0.6255
5;18;0.9129;0.8255
5;19;1.1315;0.7824
5;20;1.5325;0.7679
5;21;1.8202;0.9320
5;22;2.2547;0.8699
5;23;1.6871;0.6574
6;0;0.8150;0.6975
6;1;0.5291;0.4313
6;2;0.4155;0.3166
6;3;0.2781;0.1980
6;4;0.2770;0.1447
6;5;0.2763;0.1657
6;6;0.3070;0.1856
6;7;0.7545;0.5235
6;8;1.0421;0.6097
6;9;1.0687;0.5042
6;10;0.9622;0.5279
6;11;0.9378;0.7575
6;12;0.8877;0.8485
6;13;0.7030;0.6947
6;14;0.7713;0.9640
6;15;0.7382;0.7462
6;16;0.5856;0.4852
6;17;0.6454;0.5527
6;18;0.7495;0.7176
6;19;1.1546;0.8942
6;20;1.5588;1.0255
6;21;1.4381;1.0031
6;22;1.5753;1.1082
6;23;1.3298;0.8665
7;0;0.7694;0.5596
7;1;0.5599;0.6223
7;2;0.3937;0.4443
7;3;0.3295;0.2408
7;4;0.2542;0.2090
7;5;0.2460;0.1084
7;6;0.2773;0.1666
7;7;0.3861;0.2396
7;8;1.0498;0.6616
7;9;1.0147;0.5774
7;10;0.8126;0.5265
7;11;0.6776;0.6029
7;12;0.6207;0.6931
7;13;0.5686;0.6794
7;14;0.5175;0.5447
7;15;0.5319;0.5052
7;16;0.4450;0.3981
7;17;0.4472;0.4031
7;18;0.5265;0.5099
7;19;0.8071;0.5000
7;20;1.2159;0.8518
7;21;1.0781;0.6957
7;22;1.1834;0.9131
7;23;1.3464;1.0081
8;0;1.1206;1.0316
8;1;1.1015;0.9434
8;2;0.6217;0.4800
8;3;0.4189;0.2779
8;4;0.2674;0.1964
8;5;0.2433;0.1960
8;6;0.2160;0.1253
8;7;0.2916;0.2697
8;8;0.7146;0.6895
8;9;1.1695;0.6032
8;10;1.3375;0.5453
8;11;1.3250;0.7727
8;12;1.1965;0.8039
8;13;1.0076;0.6213
8;14;0.8807;0.5441
8;15;0.8609;0.8435
8;16;0.7321;0.6348
8;17;0.5814;0.8189
8;18;0.4186;0.4992
8;19;0.5867;0.6819
8;20;0.8788;0.9859
8;21;0.7813;0.8237
8;22;0.7532;0.8175
8;23;0.8005;0.7924
9;0;0.8781;0.6531
9;1;0.4643;0.3866
9;2;0.3413;0.2572
9;3;0.3149;0.2446
9;4;0.2542;0.1192
9;5;0.2401;0.0818
9;6;0.2465;0.1298
9;7;0.8879;0.5267
9;8;1.4718;0.7142
9;9;1.5100;0.9050
9;10;1.1736;0.6523
9;11;0.8991;0.6808
9;12;0.9126;0.8495
9;13;0.7355;0.7687
9;14;0.6444;0.6257
9;15;0.7379;0.7444
9;16;0.8886;0.7756
9;17;0.9645;0.8261
9;18;0.9117;0.7497
9;19;0.9322;0.7292
9;20;1.3876;0.9077
9;21;2.1726;0.8525
9;22;2.6771;0.9533
9;23;1.6075;0.8568
10;0;0.7912;0.5708
10;1;0.5920;0.3922
10;2;0.3983;0.2033
10;3;0.3511;0.1723
10;4;0.3416;0.1203
10;5;0.3821;0.1724
10;6;0.3691;0.1605
10;7;0.8043;0.5571
10;8;1.5313;0.8902
10;9;1.6154;0.7482
10;10;1.3439;0.7241
10;11;1.3372;0.9244
10;12;1.4256;1.0001
10;13;1.3246;0.9493
10;14;1.3493;1.1253
10;15;1.1574;1.0034
10;16;1.1082;0.9684
10;17;0.9366;0.8217
10;18;0.8798;0.8709
10;19;1.0111;0.6558
10;20;1.9201;1.0479
10;21;2.0857;1.2708
10;22;2.0741;1.2174
10;23;1.4013;0.8806
11;0;0.8564;0.7984
11;1;0.7070;0.8060
11;2;0.4535;0.3724
11;3;0.4269;0.2639
11;4;0.3325;0.1436
11;5;0.3913;0.2306
11;6;0.3566;0.1740
11;7;0.7958;0.4731
11;8;1.6935;0.9435
11;9;1.6782;0.7777
11;10;1.3635;0.6513
11;11;1.4064;0.7407
11;12;1.5554;1.0392
11;13;1.5719;1.0029
11;14;1.6073;1.1960
11;15;1.3239;0.8960
11;16;1.2037;0.9903
11;17;1.0053;0.7421
11;18;1.3229;0.8865
11;19;2.0206;1.1073
11;20;2.5402;1.1127
11;21;2.6750;1.0254
11;22;2.2125;0.8701
11;23;1.5656;0.9899
12;0;1.1227;0.9723
12;1;0.7785;0.7283
12;2;0.6201;0.5664
12;3;0.5631;0.5238
12;4;0.5196;0.4580
12;5;0.5620;0.4138
12;6;0.5450;0.3824
12;7;0.8549;0.4658
12;8;1.5656;0.8793
12;9;1.9825;0.6155
12;10;1.5594;0.5822
12;11;1.7010;0.7019
12;12;1.7813;0.6583
12;13;2.1656;1.1569
12;14;2.0712;1.0148
12;15;2.0872;1.0851
12;16;1.8133;1.0745
12;17;1.6781;1.2728
12;18;2.1252;1.2931
12;19;2.6700;0.9366
12;20;2.9648;1.1840
12;21;2.9160;1.1238
12;22;2.5568;1.1603
12;23;1.7908;1.2156
